episode,step,x-coordinate,ycoordinate,heading,steering_angle,speed,action_taken,reward,job_completed,all_wheels_on_track,progress,closest_waypoint_index,track_length,time.time(),
0,1,-5.4629,6.0995,-0.456,-10,1.33,7,1,FALSE,TRUE,-0.7004,341,51.39,1596639565,in_progress
0,2,-5.4606,6.0995,-0.4519,-10,1.33,7,1,FALSE,TRUE,-0.6959,341,51.39,1596639565,in_progress
0,3,-5.4514,6.0991,-0.5783,-10,1.33,7,1,FALSE,TRUE,-0.6779,341,51.39,1596639565,in_progress
0,4,-5.4305,6.098,-0.8931,-10,1.33,7,1,FALSE,TRUE,-0.6372,341,51.39,1596639565,in_progress
0,5,-5.3833,6.0952,-1.6426,-10,1.33,7,1,FALSE,TRUE,-0.5454,341,51.39,1596639565,in_progress
0,6,-5.3358,6.0915,-2.4501,-10,1.33,7,1,FALSE,TRUE,-0.4528,341,51.39,1596639565,in_progress
0,7,-5.256,6.0835,-3.9131,30,2,20,1,FALSE,TRUE,-0.2973,342,51.39,1596639565,in_progress
0,8,-5.1708,6.0738,-5.0694,20,1.33,16,1,FALSE,TRUE,-0.131,343,51.39,1596639565,in_progress
0,9,-5.0828,6.0638,-5.744,20,1.33,16,1,FALSE,TRUE,0.0398,0,51.39,1596639565,in_progress
0,10,-4.9874,6.0536,-5.8801,20,1.33,16,1,FALSE,TRUE,0.2256,1,51.39,1596639565,in_progress
0,11,-4.8947,6.0467,-5.072,30,0.67,18,1,FALSE,TRUE,0.4047,1,51.39,1596639565,in_progress
0,12,-4.8047,6.0472,-2.6705,20,1.33,16,1,FALSE,TRUE,0.58,2,51.39,1596639566,in_progress
0,13,-4.723,6.0522,0.1154,20,1.33,16,1,FALSE,TRUE,0.7379,3,51.39,1596639566,in_progress
0,14,-4.6286,6.0641,3.7237,10,0.67,12,1,FALSE,TRUE,0.9216,3,51.39,1596639566,in_progress
0,15,-4.5509,6.0788,6.8673,-10,1.33,7,1,FALSE,TRUE,1.0735,4,51.39,1596639566,in_progress
0,16,-4.4744,6.0947,8.9651,-30,1.33,1,1,FALSE,TRUE,1.2229,4,51.39,1596639566,in_progress
0,17,-4.3729,6.1126,9.4443,-10,0.67,6,1,FALSE,TRUE,1.4214,5,51.39,1596639566,in_progress
0,18,-4.2899,6.1257,9.1432,-30,1.33,1,1,FALSE,TRUE,1.5837,5,51.39,1596639566,in_progress
0,19,-4.2142,6.1351,8.2127,-20,1.33,4,1,FALSE,TRUE,1.7313,6,51.39,1596639566,in_progress
0,20,-4.104,6.1418,5.5577,-30,1.33,1,1,FALSE,TRUE,1.9461,7,51.39,1596639566,in_progress
0,21,-4.0107,6.1417,2.7826,0,2,11,1,FALSE,TRUE,2.1274,7,51.39,1596639566,in_progress
0,22,-3.9077,6.1341,-1.0996,0,2,11,1,FALSE,TRUE,2.3273,8,51.39,1596639566,in_progress
0,23,-3.7883,6.1168,-5.4389,-10,1.33,7,1,FALSE,TRUE,2.559,9,51.39,1596639566,in_progress
0,24,-3.6727,6.0898,-10.1286,20,1.33,16,1,FALSE,TRUE,2.784,10,51.39,1596639566,in_progress
0,25,-3.5769,6.0632,-13.3882,20,1.33,16,1,FALSE,TRUE,2.9733,10,51.39,1596639566,in_progress
0,26,-3.4756,6.0331,-15.1228,-10,1.33,7,1,FALSE,TRUE,3.1721,11,51.39,1596639566,in_progress
0,27,-3.384,6.0058,-15.8455,-10,1.33,7,0.5,FALSE,TRUE,3.359,11,51.39,1596639567,in_progress
0,28,-3.2952,5.9772,-16.7731,-10,1.33,7,0.5,FALSE,TRUE,3.5478,12,51.39,1596639567,in_progress
0,29,-3.2006,5.944,-18.0066,-10,1.33,7,0.5,FALSE,TRUE,3.7382,13,51.39,1596639567,in_progress
0,30,-3.1266,5.9158,-19.0954,-30,1.33,1,0.5,FALSE,TRUE,3.9088,13,51.39,1596639567,in_progress
0,31,-3.026,5.8713,-21.2991,-30,1.33,1,0.5,FALSE,TRUE,4.1502,14,51.39,1596639567,in_progress
0,32,-2.9476,5.8293,-24.2688,-30,1.33,1,0.5,FALSE,TRUE,4.3187,15,51.39,1596639567,in_progress
0,33,-2.877,5.785,-27.6489,0,2,11,0.5,FALSE,TRUE,4.5202,15,51.39,1596639567,in_progress
0,34,-2.7929,5.7221,-32.6896,0,2,11,0.5,FALSE,TRUE,4.7766,16,51.39,1596639567,in_progress
0,35,-2.7059,5.6439,-38.2743,-30,1.33,1,0.1,FALSE,TRUE,5.0626,17,51.39,1596639567,in_progress
0,36,-2.6229,5.5529,-44.2171,-10,1.33,7,0.1,FALSE,TRUE,5.3656,18,51.39,1596639567,in_progress
0,37,-2.5579,5.4653,-49.5791,-10,1.33,7,0.1,FALSE,TRUE,5.6356,19,51.39,1596639567,in_progress
0,38,-2.5029,5.3749,-54.6388,0,2,11,0.1,FALSE,TRUE,5.897,20,51.39,1596639567,in_progress
0,39,-2.4562,5.2875,-58.4205,-30,1.33,1,0.1,FALSE,TRUE,6.0871,21,51.39,1596639567,in_progress
0,40,-2.4104,5.1814,-63.4161,-10,1.33,7,0.1,FALSE,TRUE,6.3523,22,51.39,1596639567,in_progress
0,41,-2.3793,5.0878,-67.7123,-10,1.33,7,0.1,FALSE,TRUE,6.581,23,51.39,1596639567,in_progress
0,42,-2.356,4.9997,-71.3462,-10,1.33,7,0.1,FALSE,TRUE,6.7995,23,51.39,1596639568,in_progress
0,43,-2.3395,4.9208,-74.4023,-30,1.33,1,0.1,FALSE,TRUE,6.9503,24,51.39,1596639568,in_progress
0,44,-2.3239,4.8079,-78.808,20,1.33,16,0.1,FALSE,FALSE,7.221,25,51.39,1596639568,in_progress
0,45,-2.3186,4.7325,-81.8281,20,1.33,16,0.1,FALSE,FALSE,7.4586,26,51.39,1596639568,in_progress
0,46,-2.3116,4.623,-84.2785,20,1.33,16,0.001,FALSE,FALSE,7.7492,27,51.39,1596639568,in_progress
0,47,-2.3049,4.5272,-85.1472,20,1.33,16,0.001,FALSE,FALSE,7.995,27,51.39,1596639568,in_progress
0,48,-2.2981,4.4358,-85.4017,-30,1.33,1,0.001,FALSE,FALSE,8.2113,28,51.39,1596639568,in_progress
0,49,-2.2917,4.3513,-85.5519,-30,1.33,1,0.001,FALSE,FALSE,8.3756,29,51.39,1596639568,in_progress
0,50,-2.2892,4.2582,-86.9181,-30,1.33,1,0.001,FALSE,FALSE,8.5755,29,51.39,1596639568,in_progress
0,51,-2.2934,4.1557,-89.7385,-20,1.33,4,0.001,FALSE,FALSE,8.7771,30,51.39,1596639568,in_progress
0,52,-2.3042,4.0531,-93.0775,20,1.33,16,0.001,FALSE,FALSE,8.9723,31,51.39,1596639568,off_track
0,53,-2.3177,3.9589,-95.5742,20,1.33,16,0,FALSE,FALSE,9.1436,31,51.39,1596639568,pause
0,54,-1.9395,3.9585,-82.7379,30,0.67,18,0,FALSE,TRUE,9.2417,32,51.39,1596639568,pause
0,55,-1.9395,3.9585,-82.7384,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639568,pause
0,56,-1.9395,3.9585,-82.7366,30,0.67,18,0,FALSE,TRUE,9.2417,32,51.39,1596639568,pause
0,57,-1.9395,3.9585,-82.737,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,58,-1.9395,3.9585,-82.737,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,59,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,60,-1.9395,3.9585,-82.7369,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,61,-1.9395,3.9585,-82.7371,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,62,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,63,-1.9395,3.9585,-82.7369,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,64,-1.9395,3.9585,-82.7369,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,65,-1.9395,3.9585,-82.7366,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,66,-1.9395,3.9585,-82.7369,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,67,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,68,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,69,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,70,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639569,pause
0,71,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639570,pause
0,72,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639570,pause
0,73,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639570,pause
0,74,-1.9395,3.9585,-82.7371,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639570,pause
0,75,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639570,pause
0,76,-1.9395,3.9585,-82.7368,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639570,pause
0,77,-1.9395,3.9585,-82.7366,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639570,pause
0,78,-1.9395,3.9585,-82.7366,30,0.67,18,0,FALSE,TRUE,9.2418,32,51.39,1596639570,pause
